gab,gh,gbb,gso,gslg,ghbp,gsf,gip,ger,hab,hh,hbb,hso,hslg,hhbp,hsf,hip,her,boxscore
33,6,3,5,0.242,0,0,8,7,31,8,2,6,0.387,0,0,9,1,/boxes/PHI/PHI201408240.shtml
33,6,4,8,0.273,1,0,9,2,29,5,6,10,0.207,0,0,9,3,/boxes/TBA/TBA201407270.shtml
30,5,3,4,0.3,0,0,8,5,33,7,2,9,0.273,0,0,9,1,/boxes/SFN/SFN201408130.shtml
35,9,3,6,0.314,3,0,8,3,31,9,2,5,0.419,0,0,9,1,/boxes/BAL/BAL201405011.shtml
32,6,2,10,0.219,0,0,8,6,33,12,4,7,0.667,1,0,9,0,/boxes/COL/COL201409070.shtml
31,5,4,8,0.194,0,1,8,7,33,11,5,6,0.576,0,0,9,2,/boxes/TBA/TBA201404030.shtml
31,6,5,11,0.226,1,1,8,2,30,6,3,7,0.3,2,1,9,1,/boxes/SDN/SDN201407290.shtml
33,8,2,11,0.273,1,0,8,4,29,8,4,6,0.414,1,0,9,3,/boxes/WAS/WAS201408160.shtml
33,6,2,7,0.303,0,0,9,1,31,6,0,8,0.29,1,0,9,5,/boxes/ARI/ARI201405140.shtml
35,11,7,4,0.457,0,0,8,7,29,9,3,3,0.586,0,1,9,5,/boxes/CHA/CHA201408170.shtml
38,13,1,8,0.526,0,0,9,1,30,4,1,6,0.167,0,0,9,6,/boxes/NYN/NYN201408280.shtml
33,6,1,4,0.273,0,0,8,4,32,10,2,6,0.563,0,0,9,0,/boxes/TOR/TOR201406010.shtml
30,4,3,5,0.167,0,0,8,4,31,6,0,7,0.323,0,0,9,3,/boxes/BAL/BAL201407300.shtml
32,7,2,7,0.219,0,0,8,1,26,3,2,7,0.115,0,0,9,0,/boxes/SLN/SLN201409170.shtml
42,17,3,10,0.524,0,0,9,3,37,10,1,12,0.297,0,0,9,8,/boxes/BAL/BAL201408100.shtml
33,8,7,5,0.333,1,1,8,9,30,8,12,6,0.433,0,0,9,4,/boxes/MIN/MIN201404172.shtml
44,19,1,7,0.614,0,0,9,3,32,7,3,7,0.469,0,1,9,7,/boxes/DET/DET201407060.shtml
41,16,6,6,0.634,0,1,9,1,32,8,4,7,0.313,0,0,9,10,/boxes/SDN/SDN201408250.shtml
33,10,2,2,0.364,0,0,9,2,31,6,1,8,0.258,0,0,9,5,/boxes/ANA/ANA201405190.shtml
36,11,4,8,0.417,0,0,9,2,34,9,3,8,0.441,0,0,9,3,/boxes/HOU/HOU201408110.shtml
30,6,4,11,0.233,0,0,8,14,40,17,6,7,1,0,0,9,2,/boxes/ANA/ANA201404130.shtml
35,8,0,7,0.343,0,0,8,7,32,10,3,3,0.531,0,1,9,2,/boxes/PHI/PHI201406120.shtml
36,9,3,9,0.361,0,0,9,0,32,7,2,7,0.219,0,0,9,4,/boxes/TBA/TBA201407300.shtml
36,11,2,11,0.417,0,0,9,3,31,7,0,5,0.323,1,0,9,4,/boxes/NYA/NYA201409090.shtml
33,6,1,10,0.273,0,0,8,1,29,5,3,4,0.31,0,0,9,0,/boxes/CLE/CLE201404091.shtml
34,12,4,4,0.618,0,4,9,6,35,9,4,8,0.429,0,0,9,7,/boxes/COL/COL201406250.shtml
35,9,5,8,0.429,1,1,8,12,35,12,5,6,0.657,3,0,9,4,/boxes/PIT/PIT201407220.shtml
37,6,1,6,0.297,0,0,9.2,3,40,11,9,10,0.3,1,0,10,2,/boxes/OAK/OAK201408040.shtml
34,9,4,11,0.353,0,0,9,0,33,6,0,8,0.242,0,0,9,4,/boxes/SDN/SDN201404020.shtml
32,4,4,12,0.25,0,0,8,4,31,9,2,7,0.548,1,0,9,0,/boxes/MIL/MIL201409110.shtml
40,15,3,6,0.65,0,0,9,5,36,10,3,7,0.5,2,0,9,9,/boxes/MIL/MIL201408200.shtml
41,16,7,7,0.537,0,0,9,3,35,9,2,9,0.371,0,1,9,12,/boxes/DET/DET201409270.shtml
33,6,2,8,0.333,0,0,8,4,27,6,1,2,0.556,0,2,9,3,/boxes/CIN/CIN201405090.shtml
41,17,6,4,0.683,0,1,9,3,37,10,1,10,0.432,0,0,9,8,/boxes/LAN/LAN201405140.shtml
36,11,1,11,0.5,1,0,9,1,31,4,3,11,0.129,0,0,9,5,/boxes/CHN/CHN201405060.shtml
40,13,2,10,0.375,0,0,8,4,30,10,6,6,0.467,1,0,9,3,/boxes/LAN/LAN201406130.shtml
35,8,5,13,0.429,0,0,9,3,32,6,4,15,0.188,1,0,9,5,/boxes/CHN/CHN201404100.shtml
30,3,1,6,0.133,0,0,8,3,29,8,1,5,0.517,1,0,9,0,/boxes/COL/COL201409050.shtml
38,12,2,6,0.553,0,0,9,4,42,16,3,9,0.524,0,0,9,9,/boxes/ARI/ARI201403310.shtml
29,4,3,4,0.172,1,0,8,3,30,8,3,4,0.3,0,1,9,1,/boxes/KCA/KCA201405210.shtml
40,14,4,10,0.575,0,0,9,1,34,7,2,10,0.235,0,0,9,6,/boxes/SFN/SFN201407030.shtml
39,15,4,7,0.462,0,1,9,5,35,9,2,10,0.571,0,0,9,9,/boxes/NYA/NYA201409240.shtml
36,10,4,12,0.417,2,0,9,3,29,5,6,4,0.241,0,1,9,6,/boxes/CLE/CLE201404050.shtml
36,11,2,8,0.556,0,1,8,8,30,8,4,5,0.367,2,1,9,6,/boxes/ANA/ANA201406240.shtml
36,10,1,6,0.306,1,0,9,1,30,3,3,4,0.2,0,0,9,4,/boxes/PIT/PIT201404220.shtml
31,6,2,7,0.355,0,0,8,3,30,7,5,8,0.3,1,0,9,1,/boxes/OAK/OAK201409190.shtml
43,8,0,10,0.326,2,1,12,3,43,8,0,12,0.395,1,0,12,4,/boxes/NYA/NYA201408050.shtml
32,5,5,14,0.375,0,0,8,4,37,14,0,5,0.541,0,0,9,4,/boxes/CIN/CIN201407110.shtml
38,14,2,6,0.553,0,1,9,3,34,6,1,13,0.324,0,0,9,8,/boxes/SFN/SFN201405260.shtml
33,7,2,9,0.364,0,1,8,9,39,16,3,7,0.667,0,0,9,4,/boxes/COL/COL201408172.shtml
58,15,4,14,0.293,0,0,15.2,3,57,12,1,13,0.281,0,0,16,2,/boxes/ANA/ANA201407180.shtml
30,7,4,3,0.233,1,0,8,7,36,11,2,8,0.444,0,0,9,1,/boxes/CHA/CHA201404270.shtml
36,9,0,9,0.5,1,1,9,2,28,3,4,7,0.179,1,0,9,5,/boxes/WAS/WAS201404220.shtml
33,7,1,3,0.303,0,0,9,0,31,6,0,5,0.258,1,0,9,3,/boxes/TEX/TEX201409280.shtml
44,18,7,8,0.818,0,0,9,0,32,6,1,7,0.219,0,0,9,16,/boxes/CHA/CHA201408050.shtml
36,12,3,9,0.333,2,1,9,0,28,2,3,7,0.107,0,0,9,7,/boxes/OAK/OAK201406130.shtml
32,6,1,6,0.313,0,0,8,5,34,10,2,7,0.441,0,1,9,3,/boxes/COL/COL201408140.shtml
38,13,6,7,0.526,0,0,9,1,37,9,1,11,0.297,1,0,9,7,/boxes/CLE/CLE201404220.shtml
34,8,0,6,0.5,0,0,9,1,28,3,2,5,0.214,0,0,9,2,/boxes/OAK/OAK201409030.shtml
32,8,3,7,0.438,0,0,8,4,32,10,2,9,0.625,0,1,9,3,/boxes/OAK/OAK201408220.shtml
30,6,4,8,0.267,0,0,9,0,29,3,3,14,0.103,0,0,9,1,/boxes/NYN/NYN201405150.shtml
56,20,7,14,0.482,1,1,14,5,57,18,1,8,0.491,1,0,14,10,/boxes/NYA/NYA201405020.shtml
33,7,1,5,0.303,0,0,8.1,2,32,8,3,8,0.25,0,1,9,2,/boxes/CHA/CHA201405280.shtml
29,2,0,11,0.069,0,0,8,1,25,3,1,5,0.24,0,0,9,0,/boxes/SLN/SLN201406130.shtml
32,8,1,6,0.25,0,0,8,2,32,8,4,7,0.406,0,0,9,1,/boxes/CHA/CHA201405270.shtml
38,12,3,11,0.658,1,0,9,2,29,3,0,7,0.138,1,0,9,8,/boxes/CHA/CHA201408180.shtml
45,12,6,14,0.4,0,1,12,3,42,9,5,5,0.238,1,2,12,6,/boxes/TBA/TBA201404230.shtml
31,8,2,8,0.419,0,1,8,4,28,6,3,4,0.321,0,1,9,3,/boxes/MIN/MIN201407270.shtml
32,5,5,11,0.25,0,0,8,3,32,8,2,6,0.469,1,0,9,2,/boxes/SLN/SLN201407180.shtml
27,3,3,13,0.259,0,0,9,0,31,7,3,4,0.258,1,0,9,1,/boxes/OAK/OAK201409230.shtml
28,3,3,11,0.214,0,0,8,7,35,13,2,7,0.486,0,0,9,2,/boxes/PIT/PIT201408070.shtml
35,11,6,5,0.657,0,0,9,2,33,9,3,12,0.364,0,0,9,7,/boxes/LAN/LAN201404050.shtml
33,7,3,12,0.364,0,0,8,6,32,10,4,6,0.5,0,1,9,2,/boxes/OAK/OAK201408190.shtml
31,4,0,8,0.161,0,0,8,4,35,12,2,7,0.371,0,0,9,0,/boxes/SFN/SFN201410260.shtml
29,4,7,8,0.172,1,1,9,2,32,5,1,8,0.188,0,0,9,3,/boxes/SEA/SEA201407230.shtml
32,7,2,3,0.438,0,0,9,1,32,6,7,8,0.219,0,1,9,4,/boxes/LAN/LAN201406030.shtml
32,5,6,13,0.344,0,0,9,1,32,9,3,5,0.281,3,0,9,1,/boxes/NYN/NYN201405251.shtml
41,14,1,11,0.488,1,0,8,10,40,17,4,7,0.6,1,0,9,7,/boxes/CHA/CHA201408010.shtml
42,19,5,7,0.714,2,3,9,4,36,9,1,5,0.417,0,0,9,16,/boxes/KCA/KCA201407100.shtml
30,3,1,13,0.1,0,0,8,3,32,8,2,8,0.344,0,0,9,1,/boxes/CHA/CHA201405220.shtml
30,4,0,7,0.233,1,0,8,5,33,8,3,7,0.485,1,0,9,1,/boxes/SEA/SEA201406170.shtml
40,15,2,10,0.525,0,1,9,3,33,9,3,5,0.636,0,0,9,6,/boxes/PIT/PIT201408180.shtml
31,5,2,3,0.194,0,0,8.2,3,31,6,3,8,0.226,0,1,9,1,/boxes/DET/DET201408280.shtml
36,10,5,10,0.528,0,1,9,4,34,8,3,3,0.382,0,0,9,6,/boxes/PIT/PIT201409130.shtml
34,7,1,7,0.294,0,0,9,0,35,8,2,7,0.314,0,0,9,2,/boxes/TBA/TBA201404060.shtml
34,8,3,7,0.265,1,0,8,5,35,12,5,10,0.514,0,0,9,1,/boxes/PIT/PIT201407020.shtml
42,17,1,7,0.619,0,2,9,5,35,9,1,10,0.4,1,1,9,13,/boxes/TEX/TEX201407100.shtml
