"r","era","whip","so9","ba","obp","slg","r.1","era.1","whip.1","so9.1","ba.1","obp.1","slg.1"
8,"4.5","1.47916666666667","6.9375","0.274193548387097","0.325","0.440838709677419",5,"2.8","1.17777777777778","9.8","0.254437869822485","0.313513513513514","0.384526627218935"
5,"5.25","1.52083333333333","6.375","0.285714285714286","0.339805825242718","0.481470899470899",4,"3.8","1.33333333333333","8.6","0.26219512195122","0.316666666666667","0.408573170731707"
4,"3.91304347826087","1.41304347826087","6.84782608695652","0.270718232044199","0.314432989690722","0.469591160220994",5,"4.6","1.44444444444444","8.2","0.269461077844311","0.327956989247312","0.425017964071856"
2,"4.69565217391304","1.34782608695652","7.43478260869565","0.260355029585799","0.329842931937173","0.431733727810651",0,"3.42857142857143","1.16666666666667","7.92857142857143","0.175","0.23121387283237","0.26886875"
4,"3.71739130434783","1.08695652173913","8.02173913043478","0.242603550295858","0.308510638297872","0.390337278106509",3,"3.34883720930233","1.13953488372093","7.11627906976744","0.173913043478261","0.229885057471264","0.26727950310559"
3,"3.91304347826087","1.1304347826087","6.65217391304348","0.27683615819209","0.34010152284264","0.429237288135593",4,"3.76744186046512","1.3953488372093","7.53488372093023","0.177914110429448","0.216374269005848","0.30079754601227"
3,"3.19290465631929","1.019955654102","6.78492239467849","0.262569832402235","0.3248730964467","0.396424581005587",8,"5.75829383886256","1.6824644549763","6.61137440758294","0.201219512195122","0.251428571428571","0.347585365853659"
7,"3.87755102040816","1.13378684807256","6.93877551020408","0.261111111111111","0.3248730964467","0.366472222222222",5,"4.375","1.52777777777778","6.875","0.207547169811321","0.270114942528736","0.383767295597484"
3,"3.34106728538283","1.1368909512761","7.93503480278422","0.270718232044199","0.326530612244898","0.381011049723757",2,"4.07239819004525","1.33484162895928","6.31221719457014","0.203703703703704","0.265536723163842","0.376604938271605"
3,"3.54988399071926","1.25290023201856","7.30858468677494","0.296296296296296","0.341584158415842","0.428306878306878",9,"3.75","1.1875","7.6875","0.252808988764045","0.33","0.376280898876404"
4,"4.91686460807601","1.40142517814727","8.33729216152019","0.252747252747253","0.302564102564103","0.384263736263736",3,"3.75","1.02083333333333","7.875","0.299465240641711","0.359223300970874","0.449149732620321"
